"","Verse.ID","Book.Name","Book.Number","Chapter","Verse","Text"
"21",21,"Genesis",1,1,21,"Then God created the great whales, and euery thing liuing and mouing, which the waters brought foorth in abundance according to their kinde, and euery fethered foule according to his kinde: and God sawe that it was good."
"22",22,"Genesis",1,1,22,"Then God blessed them, saying, Bring foorth fruite and multiplie, and fill the waters in the seas, and let the foule multiplie in the earth."
"23",23,"Genesis",1,1,23,"So the euening and the morning were the fift day."
"24",24,"Genesis",1,1,24,"Moreouer God said, Let the earth bring foorth the liuing thing according to his kinde, cattell, and that which creepeth, and the beast of the earth, according to his kinde; it was so."
"25",25,"Genesis",1,1,25,"And God made the beast of the earth according to his kinde, and the cattell according to his kinde, & euery creeping thing of the earth according to his kind: & God saw that it was good."
"26",26,"Genesis",1,1,26,"Furthermore God said, Let vs make man in our image according to our likenes, and let them rule ouer the fish of the sea, and ouer the foule of the heauen, and ouer the beastes, and ouer all the earth, and ouer euery thing that creepeth and moueth on the earth."
"27",27,"Genesis",1,1,27,"Thus God created the man in his image: in the image of God created he him: he created them male and female."
"28",28,"Genesis",1,1,28,"And God blessed them, and God said to them, Bring forth fruite and multiplie, and fill the earth, and subdue it, and rule ouer the fish of the sea, and ouer the foule of the heauen, & ouer euery beast that moueth vpon the earth."
"29",29,"Genesis",1,1,29,"And God said, Beholde, I haue giuen vnto you euery herbe bearing seede, which is vpon al the earth, and euery tree, wherein is the fruite of a tree bearing seede: that shall be to you for meate."
"30",30,"Genesis",1,1,30,"Likewise to euery beast of the earth, and to euery foule of the heauen, and to euery thing that moueth vpon the earth, which hath life in it selfe, euery greene herbe shall be for meate; it was so."
"31",31,"Genesis",1,1,31,"And God sawe all that he had made, and loe, it was very good. So the euening and the morning were the sixt day."
"32",32,"Genesis",1,2,1,"Thus the heauens and the earth were finished, and all the host of them."
"33",33,"Genesis",1,2,2,"For in the seuenth day GOD ended his worke which he had made, and the seuenth day he rested from al his worke, which he had made."
"34",34,"Genesis",1,2,3,"So God blessed the seuenth day, & sanctified it, because that in it he had rested from all his worke, which God had created and made."
"35",35,"Genesis",1,2,4,"These are the generations of the heauens and of the earth, when they were created, in the day that the Lorde God made the earth and the heauens,"
"36",36,"Genesis",1,2,5,"And euery plant of the fielde, before it was in the earth, and euery herbe of the field, before it grewe: for the Lorde God had not caused it to raine vpon the earth, neither was there a man to till the ground,"
"37",37,"Genesis",1,2,6,"But a myst went vp from the earth, and watered all the earth."
"38",38,"Genesis",1,2,7,"The Lord God also made the man of the dust of the grounde, and breathed in his face breath of life, and the man was a liuing soule."
"39",39,"Genesis",1,2,8,"And the Lord God planted a garden Eastward in Eden, and there he put the man whom he had made."
"40",40,"Genesis",1,2,9,"(For out of the grounde made the Lorde God to growe euery tree pleasant to the sight, and good for meate: the tree of life also in the middes of the garden, and the tree of knowledge of good and of euill."
"41",41,"Genesis",1,2,10,"And out of Eden went a riuer to water the garden, and from thence it was deuided, and became into foure heads."
"42",42,"Genesis",1,2,11,"The name of one is Pishon: the same compasseth the whole land of Hauilah, where is golde."
"43",43,"Genesis",1,2,12,"And the golde of that land is good: there is Bdelium, and the Onix stone."
"44",44,"Genesis",1,2,13,"And the name of the seconde riuer is Gihon: the same compasseth the whole lande of Cush."
"45",45,"Genesis",1,2,14,"The name also of the third riuer is Hiddekel: this goeth toward the Eastside of Asshur: and the fourth riuer is Perath)"
"46",46,"Genesis",1,2,15,"Then the Lord God tooke the man, and put him into the garden of Eden, that he might dresse it and keepe it."
"47",47,"Genesis",1,2,16,"And the Lorde God commaunded the man, saying, Thou shalt eate freely of euery tree of the garden,"
"48",48,"Genesis",1,2,17,"But of the tree of knowledge of good and euill, thou shalt not eate of it: for in the day that thou eatest thereof, thou shalt die the death."
"49",49,"Genesis",1,2,18,"Also the Lorde God saide, It is not good that the man should be himself alone: I wil make him an helpe meete for him."
"50",50,"Genesis",1,2,19,"So the Lorde God formed of the earth euery beast of the fielde, and euery foule of the heauen, and brought them vnto the man to see howe he would call them: for howsoeuer the man named the liuing creature, so was the name thereof."
"51",51,"Genesis",1,2,20,"The man therefore gaue names vnto all cattell, and to the foule of the heauen, and to euery beast of the fielde: but for Adam founde he not an helpe meete for him."
"52",52,"Genesis",1,2,21,"Therefore the Lord God caused an heauie sleepe to fall vpon the man, and he slept: and he tooke one of his ribbes, & closed vp the flesh in steade thereof."
"53",53,"Genesis",1,2,22,"And the ribbe which the Lorde God had taken from the man, made he a woman, and brought her to the man."
"54",54,"Genesis",1,2,23,"Then the man said, This now is bone of my bones, and flesh of my flesh. She shalbe called woman, because she was taken out of man."
"55",55,"Genesis",1,2,24,"Therefore shall man leaue his father and his mother, and shall cleaue to his wife, and they shall be one flesh."
"56",56,"Genesis",1,2,25,"And they were both naked, the man and his wife, and were not ashamed."
"57",57,"Genesis",1,3,1,"Nowe the serpent was more subtill then any beast of the fielde, which the Lord God had made: and he said to the woman, Yea, hath God in deede said, Ye shall not eate of euery tree of the garden?"
"58",58,"Genesis",1,3,2,"And the woman said vnto the serpent, We eate of the fruite of the trees of the garden,"
"59",59,"Genesis",1,3,3,"But of the fruite of the tree which is in the middes of the garden, God hath said, Ye shall not eate of it, neither shall ye touche it, lest ye die."
"60",60,"Genesis",1,3,4,"Then the serpent said to the woman, Ye shall not die at all,"
"61",61,"Genesis",1,3,5,"But God doeth knowe, that when ye shall eate thereof, your eyes shall be opened, and ye shall be as gods, knowing good and euill."
"62",62,"Genesis",1,3,6,"So the woman (seeing that the tree was good for meate, and that it was pleasant to the eyes, and a tree to be desired to get knowledge) tooke of the fruite thereof, and did eate, & gaue also to her husband with her, and he did eate."
"63",63,"Genesis",1,3,7,"Then the eyes of them both were opened, and they knewe that they were naked, and they sewed figge tree leaues together, and made them selues breeches."
"64",64,"Genesis",1,3,8,"Afterward they heard the voyce of the Lord God walking in the garden in the coole of the day, and the man & his wife hid themselues from the presence of the Lorde God among the trees of the garden."
"65",65,"Genesis",1,3,9,"But the Lord God called to the man, and said vnto him, Where art thou?"
"66",66,"Genesis",1,3,10,"Who saide, I heard thy voyce in the garden, and was afraide: because I was naked, therefore I hid my selfe."
"67",67,"Genesis",1,3,11,"And he saide, Who tolde thee, that thou wast naked? Hast thou eaten of the tree, whereof I commanded thee that thou shouldest not eate?"
"68",68,"Genesis",1,3,12,"Then the man saide, The woman which thou gauest to be with me, she gaue me of the tree, and I did eate."
"69",69,"Genesis",1,3,13,"And the Lorde God saide to the woman, Why hast thou done this? And the woman said, The serpent beguiled me, and I did eate."
"70",70,"Genesis",1,3,14,"Then the Lord God said to the serpent, Because thou hast done this, thou art cursed aboue all cattell, and aboue euery beast of the fielde: vpon thy belly shalt thou goe, and dust shalt thou eate all the dayes of thy life."
"71",71,"Genesis",1,3,15,"I wil also put enimitie betweene thee and the woman, and betweene thy seede & her seede. He shall breake thine head, and thou shalt bruise his heele."
"72",72,"Genesis",1,3,16,"Vnto the woman he said, I will greatly increase thy sorowes, and thy conceptions. In sorowe shalt thou bring foorth children, and thy desire shalbe subiect to thine husbande, and he shall rule ouer thee."
"73",73,"Genesis",1,3,17,"Also to Adam he said, Because thou hast obeyed the voyce of thy wife, and hast eaten of the tree, (whereof I commanded thee, saying, Thou shalt not eate of it) cursed is the earth for thy sake: in sorowe shalt thou eate of it all the dayes of thy life."
"74",74,"Genesis",1,3,18,"Thornes also, and thistles shall it bring foorth to thee, and thou shalt eate the herbe of the fielde."
"75",75,"Genesis",1,3,19,"In the sweate of thy face shalt thou eate bread, till thou returne to the earth: for out of it wast thou taken, because thou art dust, and to dust shalt thou returne."
"76",76,"Genesis",1,3,20,"(And the man called his wiues name Heuah, because she was the mother of all liuing)"
"77",77,"Genesis",1,3,21,"Vnto Adam also and to his wife did the Lord God make coates of skinnes, and clothed them."
"78",78,"Genesis",1,3,22,"And the Lord God said, Beholde, the man is become as one of vs, to knowe good and euill; nowe lest he put foorth his hand, and take also of ye tree of life & eate & liue for euer,"
"79",79,"Genesis",1,3,23,"Therefore the Lord God sent him foorth from the garden of Eden, to till ye earth, whence he was taken."
"80",80,"Genesis",1,3,24,"Thus he cast out man, and at the East side of the garden of Eden he set the Cherubims, and the blade of a sworde shaken, to keepe the way of the tree of life."
"81",81,"Genesis",1,4,1,"Afterwarde the man knewe Heuah his wife, which conceiued and bare Kain, and said, I haue obteined a man by the Lord."
"82",82,"Genesis",1,4,2,"And againe she brought foorth his brother Habel, & Habel was a keeper of sheepe, and Kain was a tiller of the ground."
"83",83,"Genesis",1,4,3,"And in processe of time it came to passe, that Kain brought an oblation vnto the Lorde of the fruite of the ground."
"84",84,"Genesis",1,4,4,"And Habel also him selfe brought of the first fruites of his sheepe, and of the fat of them, and the Lorde had respect vnto Habel, and to his offering,"
"85",85,"Genesis",1,4,5,"But vnto Kain and to his offering he had no regarde: wherefore Kain was exceeding wroth, and his countenance fell downe."
"86",86,"Genesis",1,4,6,"Then ye Lord said vnto Kain, Why art thou wroth? and why is thy countenance cast downe?"
"87",87,"Genesis",1,4,7,"If thou do well, shalt thou not be accepted? and if thou doest not well, sinne lieth at the doore: also vnto thee his desire shalbe subiect, and thou shalt rule ouer him."
"88",88,"Genesis",1,4,8,"Then Kain spake to Habel his brother; when they were in the fielde, Kain rose vp against Habel his brother, and slewe him."
"89",89,"Genesis",1,4,9,"Then the Lorde said vnto Kain, Where is Habel thy brother? Who answered, I cannot tell. Am I my brothers keeper?"
"90",90,"Genesis",1,4,10,"Againe he said, What hast thou done? the voyce of thy brothers blood cryeth vnto me from the earth."
"91",91,"Genesis",1,4,11,"Now therefore thou art cursed from the earth, which hath opened her mouth to receiue thy brothers blood from thine hand."
"92",92,"Genesis",1,4,12,"When thou shalt till the grounde, it shall not henceforth yeelde vnto thee her strength: a vagabond and a runnagate shalt thou be in the earth."
"93",93,"Genesis",1,4,13,"Then Kain said to the Lorde, My punishment is greater, then I can beare."
"94",94,"Genesis",1,4,14,"Behold, thou hast cast me out this day fro the earth, and from thy face shall I be hid, and shalbe a vagabond, and a runnagate in the earth, and whosoeuer findeth me, shall slay me."
"95",95,"Genesis",1,4,15,"Then the Lord said vnto him, Doubtlesse whosoeuer slayeth Kain, he shalbe punished seue folde; the Lord set a marke vpon Kain, lest any man finding him should kill him."
"96",96,"Genesis",1,4,16,"Then Kain went out from the presence of the Lord, and dwelt in the land of Nod towarde the Eastside of Eden."
"97",97,"Genesis",1,4,17,"Kain also knewe his wife, which conceiued and bare Henoch: and he built a citie, and called the name of the citie by ye name of his sonne, Henoch."
"98",98,"Genesis",1,4,18,"And to Henoch was borne Irad, and Irad begate Mehuiael, and Mehuiael begate Methushael, and Methushael begate Lamech."
"99",99,"Genesis",1,4,19,"And Lamech tooke him two wiues: the name of the one was Adah, and the name of the other Zillah."
"100",100,"Genesis",1,4,20,"And Adah bare Iabal, who was the father of such as dwell in the tents, and of such as haue cattell."
"101",101,"Genesis",1,4,21,"And his brothers name was Iubal, who was the father of all that play on the harpe and organes."
"102",102,"Genesis",1,4,22,"And Zillah also bare Tubal-kain, who wrought cunningly euery craft of brasse and of yron: and the sister of Tubal-kain was Naamah."
"103",103,"Genesis",1,4,23,"Then Lamech saide vnto his wiues Adah and Zillah, Heare my voyce, ye wiues of Lamech: hearken vnto my speach: for I would slay a man in my wound, and a yong man in mine hurt."
"104",104,"Genesis",1,4,24,"If Kain shalbe auenged seuen folde, truely Lamech, seuentie times seuen folde."
"105",105,"Genesis",1,4,25,"And Adam knewe his wife againe, and she bare a sonne, and she called his name Sheth: for God, saide she, hath appointed me another seede for Habel, because Kain slewe him."
"106",106,"Genesis",1,4,26,"And to ye same Sheth also there was borne a sonne, and he called his name Enosh. Then beganne men to call vpon the name of the Lord."
"107",107,"Genesis",1,5,1,"This is the booke of the generations of Adam. In the day that God created Adam, in the likenes of God made he him,"
"108",108,"Genesis",1,5,2,"Male and female created he them, and blessed them, and called their name Adam in the day that they were created."
"109",109,"Genesis",1,5,3,"Nowe Adam liued an hundred and thirtie yeeres, and begate a childe in his owne likenes after his image, and called his name Sheth."
"110",110,"Genesis",1,5,4,"And the dayes of Adam, after he had begotten Sheth, were eight hundreth yeeres, and he begate sonnes and daughters."
"111",111,"Genesis",1,5,5,"So all the dayes that Adam liued, were nine hundreth and thirtie yeeres: and he died."
"112",112,"Genesis",1,5,6,"And Sheth liued an hundreth and fiue yeeres, and begate Enosh."
"113",113,"Genesis",1,5,7,"And Sheth liued, after he begate Enosh, eight hundreth and seuen yeeres, and begate sonnes and daughters."
"114",114,"Genesis",1,5,8,"So all the dayes of Sheth were nine hundreth and twelue yeeres: and he died."
"115",115,"Genesis",1,5,9,"Also Enosh liued ninetie yeeres, and begate Kenan."
"116",116,"Genesis",1,5,10,"And Enosh liued, after he begate Kenan, eight hundreth and fifteene yeeres, and begate sonnes and daughters."
"117",117,"Genesis",1,5,11,"So all the dayes of Enosh were nine hundreth and fiue yeeres: and he died"
"118",118,"Genesis",1,5,12,"Likewise Kenan liued seuentie yeeres, and begate Mahalaleel."
"119",119,"Genesis",1,5,13,"And Kenan liued, after he begate Mahalaleel, eight hundreth and fourtie yeeres, and begate sonnes and daughters."
"120",120,"Genesis",1,5,14,"So all the dayes of Kenan were nine hundreth and tenne yeeres: and he died."
"121",121,"Genesis",1,5,15,"Mahalaleel also liued sixtie & fiue yeres, and begate Iered."
"122",122,"Genesis",1,5,16,"Also Mahalaleel liued, after he begate Iered, eight hundreth and thirtie yeeres, and begate sonnes and daughters."
"123",123,"Genesis",1,5,17,"So all the dayes of Mahalaleel were eight hundreth ninetie and fiue yeeres: and he died."
"124",124,"Genesis",1,5,18,"And Iered liued an hundreth sixtie and two yeeres, and begate Henoch."
"125",125,"Genesis",1,5,19,"Then Iered liued, after he begate Henoch, eight hundreth yeeres, and begate sonnes and daughters."
"126",126,"Genesis",1,5,20,"So all the dayes of Iered were nine hundreth sixtie and two yeeres: and he died."
"127",127,"Genesis",1,5,21,"Also Henoch liued sixtie & fiue yeeres, and begate Methushelah."
"128",128,"Genesis",1,5,22,"And Henoch walked with God, after he begate Methushelah, three hundreth yeeres, and begate sonnes and daughters."
"129",129,"Genesis",1,5,23,"So all the dayes of Henoch were three hundreth sixtie and fiue yeeres."
"130",130,"Genesis",1,5,24,"And Henoch walked with God, and he was no more seene: for God tooke him away."
"131",131,"Genesis",1,5,25,"Methushelah also liued an hundreth eightie and seuen yeeres, and begate Lamech."
"132",132,"Genesis",1,5,26,"And Methushelah liued, after he begate Lamech, seuen hundreth eightie and two yeeres, and begate sonnes and daughters."
"133",133,"Genesis",1,5,27,"So al the dayes of Methushelah were nine hundreth sixtie and nine yeeres: and he died."
"134",134,"Genesis",1,5,28,"Then Lamech liued an hundreth eightie and two yeeres, and begate a sonne,"
"135",135,"Genesis",1,5,29,"And called his name Noah, saying, This same shall comfort vs concerning our worke and sorowe of our hands, as touching the earth, which the Lord hath cursed."
"136",136,"Genesis",1,5,30,"And Lamech liued, after he begate Noah, fiue hundreth ninetie and fiue yeeres, and begate sonnes and daughters."
"137",137,"Genesis",1,5,31,"So all the dayes of Lamech were seuen hundreth seuentie and seuen yeeres: and he died."
"138",138,"Genesis",1,5,32,"And Noah was fiue hundreth yeere olde; Noah begate Shem, Ham and Iapheth."
"139",139,"Genesis",1,6,1,"So when men beganne to be multiplied vpon the earth, and there were daughters borne vnto them,"
"140",140,"Genesis",1,6,2,"Then the sonnes of God sawe the daughters of men that they were faire, & they tooke them wiues of all that they liked."
"141",141,"Genesis",1,6,3,"Therefore the Lord saide, My Spirit shall not alway striue with man, because he is but flesh, and his dayes shalbe an hundreth & twentie yeeres."
"142",142,"Genesis",1,6,4,"There were gyants in the earth in those dayes: yea, and after that the sonnes of God came vnto the daughters of men, and they had borne them children, these were mightie men, which in olde time were men of renoume."
"143",143,"Genesis",1,6,5,"When the Lorde sawe that the wickednesse of man was great in the earth, and all the imaginations of the thoughtes of his heart were onely euill continually,"
"144",144,"Genesis",1,6,6,"Then it repented ye Lord, that he had made man in the earth, and he was sorie in his heart."
"145",145,"Genesis",1,6,7,"Therefore ye Lord said, I will destroy from the earth the man, whom I haue created, fro man to beast, to the creeping thing, and to the foule of the heauen: for I repent that I haue made them."
"146",146,"Genesis",1,6,8,"But Noah found grace in the eyes of the Lord."
"147",147,"Genesis",1,6,9,"These are the generations of Noah. Noah was a iust and vpright man in his time: and Noah walked with God."
"148",148,"Genesis",1,6,10,"And Noah begate three sonnes, Shem, Ham and Iapheth."
"149",149,"Genesis",1,6,11,"The earth also was corrupt before God: for the earth was filled with crueltie."
"150",150,"Genesis",1,6,12,"Then God looked vpon the earth, and beholde, it was corrupt: for all flesh had corrupt his way vpon the earth."
"151",151,"Genesis",1,6,13,"And God said vnto Noah, An ende of all flesh is come before me: for the earth is filled with crueltie through them: and beholde, I wil destroy them with the earth."
"152",152,"Genesis",1,6,14,"Make thee an Arke of pine trees: thou shalt make cabines in the Arke, and shalt pitch it within and without with pitch."
"153",153,"Genesis",1,6,15,"And thus shalt thou make it: The length of the Arke shalbe three hundreth cubites, the breadth of it fiftie cubites, and the height of it thirtie cubites."
"154",154,"Genesis",1,6,16,"A windowe shalt thou make in the Arke, and in a cubite shalt thou finish it aboue, and the doore of the Arke shalt thou set in the side thereof: thou shalt make it with the lowe, seconde and third roume."
"155",155,"Genesis",1,6,17,"And I, beholde, I will bring a flood of waters vpon the earth to destroy all flesh, wherein is the breath of life vnder the heauen: all that is in the earth shall perish."
"156",156,"Genesis",1,6,18,"But with thee will I establish my couenant, and thou shalt goe into the Arke, thou, and thy sonnes, and thy wife, and thy sonnes wiues with thee."
"157",157,"Genesis",1,6,19,"And of euery liuing thing, of all flesh two of euery sort shalt thou cause to come into the Arke, to keepe them aliue with thee: they shalbe male and female."
"158",158,"Genesis",1,6,20,"Of the foules, after their kinde, and of the cattell after their kind, of euery creeping thing of the earth after his kinde, two of euery sort shall come vnto thee, that thou mayest keepe them aliue."
"159",159,"Genesis",1,6,21,"And take thou with thee of all meate that is eaten: and thou shalt gather it to thee, that it may be meate for thee and for them."
"160",160,"Genesis",1,6,22,"Noah therefore did according vnto all, that God commanded him: euen so did he."
"161",161,"Genesis",1,7,1,"And the Lord said vnto Noah, Enter thou and all thine house into the Arke: for thee haue I seene righteous before me in this age."
"162",162,"Genesis",1,7,2,"Of euery cleane beast thou shalt take to thee by seuens, the male & his female: but of vncleane beastes by couples, the male & his female."
"163",163,"Genesis",1,7,3,"Of the foules also of the heauen by seuens, male and female, to keepe seede aliue vpon the whole earth."
"164",164,"Genesis",1,7,4,"For seuen dayes hence I will cause it raine vpon the earth fourtie dayes and fourtie nightes, and all the substance that I haue made, will I destroy from off the earth."
"165",165,"Genesis",1,7,5,"Noah therefore did according vnto all that the Lord commanded him."
"166",166,"Genesis",1,7,6,"And Noah was sixe hundreth yeeres olde, when the flood of waters was vpon the earth."
"167",167,"Genesis",1,7,7,"So Noah entred and his sonnes, and his wife, & his sonnes wiues with him into the Arke, because of the waters of the flood."
"168",168,"Genesis",1,7,8,"Of the cleane beastes, and of the vncleane beastes, and of the foules, and of all that creepeth vpon the earth,"
"169",169,"Genesis",1,7,9,"There came two and two vnto Noah into the Arke, male and female, as God had commanded Noah."
"170",170,"Genesis",1,7,10,"And so after seuen dayes the waters of the flood were vpon the earth."
"171",171,"Genesis",1,7,11,"In the sixe hundreth yeere of Noahs life in the second moneth, the seuetenth day of the moneth, in the same day were all the fountaines of the great deepe broken vp, and the windowes of heauen were opened,"
"172",172,"Genesis",1,7,12,"And the raine was vpon the earth fourtie dayes and fourtie nightes."
"173",173,"Genesis",1,7,13,"In the selfe same day entred Noah with Shem, and Ham and Iapheth, the sonnes of Noah, and Noahs wife, and the three wiues of his sonnes with them into the Arke."
"174",174,"Genesis",1,7,14,"They and euery beast after his kinde, and all cattell after their kinde, and euery thing that creepeth and moueth vpon the earth after his kinde, and euery foule after his kinde, euen euery bird of euery fether."
"175",175,"Genesis",1,7,15,"For they came to Noah into ye Arke, two and two, of all flesh wherein is ye breath of life."
"176",176,"Genesis",1,7,16,"And they entring in, came male and female of all flesh, as God had commanded him: and the Lord shut him in."
"177",177,"Genesis",1,7,17,"Then ye flood was fourtie dayes vpon the earth, and the waters were increased, and bare vp the Arke, which was lift vp aboue the earth."
"178",178,"Genesis",1,7,18,"The waters also waxed strong, and were increased exceedingly vpon the earth, and the Arke went vpon the waters."
"179",179,"Genesis",1,7,19,"The waters preuailed so exceedingly vpon the earth, that all the high mountaines, that are vnder the whole heauen, were couered."
"180",180,"Genesis",1,7,20,"Fifteene cubites vpwarde did the waters preuaile, when the mountaines were couered."
"181",181,"Genesis",1,7,21,"Then all flesh perished that moued vpon the earth, both foule and cattell and beast, and euery thing that creepeth and moueth vpon the earth, and euery man."
"182",182,"Genesis",1,7,22,"Euery thing in whose nostrels the spirit of life did breathe, whatsoeuer they were in the drie land, they died."
"183",183,"Genesis",1,7,23,"So he destroyed euery thing that was vpon the earth, from man to beast, to ye creeping thing, and to the foule of the heauen: they were euen destroyed from the earth; Noah onely remained; & they that were with him in ye Arke."
"184",184,"Genesis",1,7,24,"And the waters preuailed vpon the earth an hundreth and fiftie dayes."
"185",185,"Genesis",1,8,1,"Nowe God remembred Noah and euery beast, and all the cattell that was with him in the Arke: therefore God made a winde to passe vpon the earth, and the waters ceased."
"186",186,"Genesis",1,8,2,"The fountaines also of the deepe and the windowes of heauen were stopped and the raine from heauen was restrained,"
"187",187,"Genesis",1,8,3,"And the waters returned from aboue the earth, going and returning: and after the ende of the hundreth and fiftieth day the waters abated."
"188",188,"Genesis",1,8,4,"And in the seuenth moneth, in the seuenteenth day of the moneth, the Arke rested vpon the mountaines of Ararat."
"189",189,"Genesis",1,8,5,"And the waters were going and decreasing vntill the tenth moneth: in the tenth moneth, and in the first day of the moneth were the toppes of the mountaines seene."
"190",190,"Genesis",1,8,6,"So after fourtie dayes, Noah opened the windowe of the Arke, which he had made,"
"191",191,"Genesis",1,8,7,"And sent forth a rauen, which went out going forth and returning, vntill the waters were dried vp vpon the earth."
"192",192,"Genesis",1,8,8,"Againe he sent a doue from him, that he might see if the waters were diminished from off the earth."
"193",193,"Genesis",1,8,9,"But the doue found no rest for the sole of her foote: therefore she returned vnto him into the Arke (for the waters were vpon the whole earth) and he put forth his hand, and receiued her, and tooke her to him into the Arke."
"194",194,"Genesis",1,8,10,"And he abode yet other seuen dayes, and againe he sent forth the doue out of the Arke."
"195",195,"Genesis",1,8,11,"And the doue came to him in ye euening, and loe, in her mouth was an oliue leafe that she had pluckt: whereby Noah knewe that the waters were abated from off the earth."
"196",196,"Genesis",1,8,12,"Notwithstanding he wayted yet other seuen dayes, and sent forth the doue, which returned not againe vnto him any more."
"197",197,"Genesis",1,8,13,"And in the sixe hundreth and one yeere, in the first day of the first moneth the waters were dryed vp from off the earth: and Noah remoued the couering of the Arke and looked, and beholde, the vpper part of the ground was drie."
"198",198,"Genesis",1,8,14,"And in the second moneth, in the seuen & twentieth day of the moneth was the earth drie."
"199",199,"Genesis",1,8,15,"Then God spake to Noah, saying,"
"200",200,"Genesis",1,8,16,"Goe forth of the Arke, thou & thy wife, and thy sonnes and thy sonnes wiues with thee."
"201",201,"Genesis",1,8,17,"Bring forth with thee euery beast that is with thee, of all flesh, both foule and cattell, and euery thing that creepeth and moueth vpon the earth, that they may breede abundantly in ye earth, and bring forth fruite & increase vpon ye earth."
"202",202,"Genesis",1,8,18,"So Noah came forth, and his sonnes, and his wife, and his sonnes wiues with him."
"203",203,"Genesis",1,8,19,"Euery beast, euery creeping thing, and euery foule, all that moueth vpon the earth after their kindes went out of the Arke."
"204",204,"Genesis",1,8,20,"Then Noah built an altar to the Lord & tooke of euery cleane beast, & of euery cleane foule, and offered burnt offerings vpon the altar."
"205",205,"Genesis",1,8,21,"And the Lord smelled a sauour of rest, and the Lord said in his heart, I will hencefoorth curse the ground no more for mans cause: for the imagination of mans heart is euill, euen from his youth: neither will I smite any more all things liuing, as I haue done."
"206",206,"Genesis",1,8,22,"Hereafter seede time & haruest, & colde and heate, and sommer and winter, and day and night shal not cease, so long as ye earth remaineth."
"207",207,"Genesis",1,9,1,"And God blessed Noah and his sonnes, and said to them, Bring foorth fruite, and multiplie, and replenish the earth."
"208",208,"Genesis",1,9,2,"Also the feare of you, and the dread of you shalbe vpon euery beast of the earth, and vpon euery foule of the heauen, vpon all that moueth on the earth, and vpon all the fishes of the sea: into your hand are they deliuered."
"209",209,"Genesis",1,9,3,"Euery thing that moueth and liueth, shall be meate for you: as the greene herbe, haue I giuen you all things."
"210",210,"Genesis",1,9,4,"But flesh with the life thereof, I meane, with the blood thereof, shall ye not eate."
"211",211,"Genesis",1,9,5,"For surely I will require your blood, wherein your liues are: at the hand of euery beast will I require it: and at the hand of man, euen at the hand of a mans brother will I require the life of man."
"212",212,"Genesis",1,9,6,"Who so sheadeth mans blood, by man shall his blood be shed: for in the image of God hath he made man."
"213",213,"Genesis",1,9,7,"But bring ye forth fruite & multiplie: grow plentifully in the earth, and increase therein."
"214",214,"Genesis",1,9,8,"God spake also to Noah & to his sonnes with him, saying,"
"215",215,"Genesis",1,9,9,"Behold, I, euen I establish my couenant with you, and with your seede after you,"
"216",216,"Genesis",1,9,10,"And with euery liuing creature that is with you, with the foule, with the cattell, and with euery beast of the earth with you, from all that goe out of the Arke, vnto euery beast of the earth."
