ID,Sentence
22,"Item, that they sette owte in theire preachinge the reuerent estimation of the holye Sacramentes of Baptisme and the Lordes supper, excitinge the people to thoften and deuoute receauing of the ho∣ly Communion of the body and bludde of Christe, in suche forme as is already prescribed in the booke of Common prayer: and as it is further declared in an Homily concerninge the vertue and efficacye of the sayde Sacramentes."
23,"Item, that they moue the people to all obedience, aswell in obseruation of the orders appoynted in the booke of Common seruice, as in the Queenes Maiesties Iniunctions, as also of all other ciuill duetyes due for subiectes to doe."
24,"Item, that al licences for preaching, graunted out by ye Archebysshop & Bysshopes wtin the prouince of Canterbury, bearing date before the first day of marche 1564 be voyde and of none effect, and neuer∣thelesse all suche as shalbe thought meete for the of∣fice, to be admitted agayne without difficultye or charge, payinge no more but iiij."
25,"pens for the wri∣ting, parchement and waxe."
26,"Item, yf any Preacher or parson, vicar or curate so licensed, shall fortune to preache anye matter tendinge to dissention, or to the derogation of the religion and doctrine receyued, that the hearers de∣nounce the same to the Ordinaryes, or the next Bis∣shoppe of the same place: but no man openly to con∣trary or to impugne the same speache so disorderly vttered: wherby may growe offence and disquiet of the people, but shalbe conuinced and reproued by the Ordinary after suche agreable order, as shall be seene to him according to the grauity of the offence."
27,And that it bee presented within one moneth after the wordes spoken.
28,"Item, that they vse not to exact or receaue vnrea∣sonable rewardes or stipendes of the poore Pa∣stors, comminge to theyre Cures to preache, wher∣bye they myght bee noted as folowers of filthye lucre, rather then vse thoffice of preaching of Cha∣ritye and good zeale, to the saluation of mens soules."
29,"Item, if the Parson be able, he shall preache in his own person euery thre moneths, or els shall preache by an other, so that his absence be approued by the Ordinary of ye dioces in respecte of sickenes, seruice or studye at the Vniuersities."
30,"Neuerthelesse yet for wante of able Preachers and Parsons, to tolerate them without penaltye, so that they preache in theyre owne persons, or by a learned substitute, once in euery three monethes of the yeare."
31,¶Articles for administration of prayer and Sacramentes.
32,"FIrst, that the Cōmon prayer be saide or songe decently and distinctly, in suche place as the Or∣dinary shall thinke meete for the largenesse and streightnesse of the Churche and quire, so that the people may be moste edified."
33,"Item, that no Parson or curate, not admitted by the bysshoppe of the dioces to preache, do expounde in his owne Cure or other where, any scripture or matter of doctrine or by the waye of exhortation, but onely study to reade grauelye and aptlye, with∣out any glosinge of the same, or any additions, the homilyes already sette owte, or other suche necessa∣ry doctrine as is, or shalbe prescribed for the quyet instruction and edification of the people."
34,"Item, that in Cathedrall churches & colledges the holy Communion be ministred vpon the first or se∣conde sonday of euerye moneth at the leaste."
35,"So that both Deane, prebendaries, preistes & clerkes, do receyue: and all other of discretion of the funda∣tion, do receaue foure tymes in the yeare at the least."
36,"Item, in the ministration of the holy Communi∣on in Cathedrall and Collegiat Churches, ye prin∣cipall minister shal vse a Cope, with Gospeller and Epistoler agreeably: and at all other prayers to be sayde at that Communion table, to vse no Copes but Surplesses."
37,"Item, that the Deane and Prebendaries weare a Surplesse with a silke Hoode in the Quyer: and when they preache in the Cathedrall or Collegiate churche, to weare theyre Hoode."
38,"Item, that euery Minister sayinge any publique prayers, or ministringe the Sacramentes, or other rites of the churche, shall weare a comely Surples with sleeues, to bee prouided at the charges of the Parishe: and that the Parishe prouide a decente table standinge on a frame, for the Communion table."
39,"Item, they shal decentlie couer with Carpet, silke or other decente coueringe, and with a fayre lynnen clothe (at the tyme of the ministration) the Com∣munyon table: and to sett the tenne Commaunde∣mentes vppon the East walle ouer the said table."
40,"Item, that al communicātes do receaue kneeling▪ and as is appointed by the lawes of the Realme, and the Queenes maiestyes Iniunctions."
41,"Item, that the fonte be not remoued, nor that the Curate do baptise in parishe Churches in any Ba∣sons, nor in anye other forme then is alredie pre∣scribed, without charginge the parent to be present or absent at the Christening of his childe, although the parent may bee present or absent, but not to an∣swere as Godfather for his childe."
42,"Item, that no childe bee admitted to answere as Godfather or godmother, except the childe hath re∣ceaued the Communion."
43,"Item, that there be none other holidayes obserued besides the Sundayes, but onely suche as be set out for holidayes, as in the Statute Anno quinto & sexto Edwardi sexti, & in the new kalender autho∣rysed by the Queenes maiesty."
44,"Item, that when any Christian bodye is in pas∣sing, that the bell be tolled, and that the Curate be specially called for to comforte the sicke person: and after the tyme of his passinge, to ringe no more but one shorte peale: and one before the buriall, and an other shorte peale after the buriall."
45,"Item, that on Sundaies there be no shoppes opē, nor artificers commonlye goinge aboute theire af∣faires worldly."
46,"And that in all Faires and common markets, sallinge vppon the sunday, there be no she∣wing of any wares before the Seruice be done."
47,"Item, that in the Rogation dayes of procession, they singe or saye in Englishe the twoo Psalmes beginninge, Benedic anima mea."
48,"&c. with the Letanye and Suffrages there vnto, with one Ho∣melye of thankes geuinge to God, already deuised and diuided into foure partes, without addition of any superstitiouse ceremonyes heretofore vsed."
49,Articles for certayne orders in ec∣clesiasticall policy.
50,"FIrst, againste the day of giuing of orders ap∣poynted, the Bysshoppe shall geue open moni∣tions to all men, to except agaynste suche as they knowe not to be worthy, either for life or con∣uersation."
51,"And there to giue notice that none shall sewe for orders, but within theire owne Dioces where they weare borne, or had theire longe tyme of dwellinge, except suche, as shall bee of degree in the Vniuersities."
52,"Item, that younge Preistes or Ministers, made or to be made, be so instructed, that they bee able to make apte aunsweres is concerninge the forme of the Catechisme prescribed."
53,"Item, that no Curate or Minister bee permitted to serue without examination and admission of ye Ordinary or his deputy, in writing, hauing respect, to the greatnes of the Cure, and the meetenes of the party: and that the sayde Ministers if they re∣mooue from one Dioces to an nother, bee by no meanes admitted to serue, without testimonye of the Diocesan from whence they come, in writing, of their honesty, and ability."
54,"Item, that the Bysshop doe call home once in the yeare any Prebendary in his Churche, or beneficed in the Dioces whiche studieth at the Vniuersities, to knowe how hee profiteth in learninge: and that he be not suffered to bee a seruinge or a waytinge man dissolutely."
55,"Item, that at the Archedeacons, visitation, the Archedeacon shall appoynte the Curates to cer∣tayne taxes of the newe Testamente, to bee conde without booke."
56,And at theire nexte Synode to ex∣acte a rehearsall of theym.
57,"Item, that the Churchewardens once in ye quar∣ter declare by theyre Curates in billes subscribed with their handes to the Ordinarye or to the nexte officer vnder him, who they bee whiche will not readyly paye theire penalties for not comminge to Goddes diuine seruice accordingly."
58,"Item, that the Ordinaries doe vse good diligente examination, to foresee all Simoniacall pactes or couenaunts with the Patrons or presenters, for the spoyle of their glebe, tithes, or mansion houses."
59,"Item, that no persons be suffered to marye with∣in the Leuiticall degrees mentioned in a Table set forthe by the Archebysshoppe of Caunterburye in that behalfe, Anno Domini 1563. and if any suche bee, to be separated by order of lawe."
60,Articles for outwarde apparrell of persons Ecclesiasticall.
61,"FIrst, that al Archebysshoppes and Bysshoppes do vse & continewe their accustomed apparrell."
62,"Item, that all Deanes of cathedrall churches, Masters of Colledges, all Archedeacons, and other dignities in Cathedral churches: doctors, bachelers of Diuinitye and Lawe, hauing any Ecclesiasticall liuinge, shall weare in their common apparrell a∣brode, a syde gowne with sleeues streyght at the hande, without any cuttes in the same."
63,"And that al∣so without any fallinge cape: and to weare typpets of sarcenet, as is lawfull for them by thact of parli∣ament, Anno 24."
64,"Item, that all doctors of Physick, or of any other facultye, hauinge any liuinge ecclesiasticall, or any other that may dispende by the churche one hūdred markes, so to bee estemed by the fruites or tenthes of their promotions: and all Prebendaries, whose promotions be valued at twēty pound or vpward, weare the like apparrell."
65,"Item, that they and all ecclesiasticall persons, or other hauinge any ecclesiasticall liuinge, doe weare the cappe appointed by the Iniunctions."
66,And they to weare no hattes but in their iourneinge.
67,"Item, that they in theyre iourneinge do weare theire clokes with sleeues put on, and lyke in fasshi∣on to their gownes, without gards, welts, or cuts."
68,"Item, that in their priuate howses and Studies, they vse their owne liberty of comely apparrell."
69,"Item, that all inferiour Ecclesiasticall persons shall weare longe gownes of the fasshion afore∣sayde, and cappes as afore is prescribed."
70,"Item, that all poore Parsons, vicars and curates do endeuor themselues to conforme their apparrell in like sorte, so soone and as conuenientlye as theire abilitye will serue to the same."
71,Prouided that their abilitye bee iudged by the Bysshop of the Dioces.
72,"And yf theire abilitye will not suffer to buye them longe gownes of the forme afore prescribed, that then they shall weare their shorte gownes, agrea∣ble to the forme before expressed."
73,"Item, that al suche persons as haue ben or be Ec∣clesiasticall, and serue not the minysterie, or haue not accepted or shall refuse to accepte the othe of o∣bedience to the Queenes Maiesty, doe from hence∣fourth abrode weare none of the sayde apparrell of the forme & fasshion aforesayde, but to go as mere laye men, till they bee reconciled to obedience: and who shall obstinately refuse to do the same, yt they bee presented by the Ordinarye to the Commissio∣ners in causes Ecclesiasticall, and by them to be re∣formed accordingly."
74,"Protestations to be made, promised and subscribed by them that shall hereafter bee ad∣mitted to any office, roome or cure in any Churche, or other place Ecclesiasticall."
75,"IN primis, I shall not preache or publiquely in∣terprete, but onelye reade that whiche is appoin∣ted by publique authoritye, without speciall license of the Bysshoppe vnder his seale."
76,"I shall reade the seruice appoynted, plainly, distin∣ctly and audibly, that all the people may heare and vnderstande."
77,I shall keepe the Register booke accordinge to the Queenes Maiesties Iniunctions.
78,"I shall vse sobrietye in apparrell, and specially in the Churche at Common prayers, accordinge to order appoynted."
79,"I shall moue the parishioners to quiet and con∣corde, and not geue them cause of offence, and shall helpe to reconcile them whiche be at variaunce, to my vttermoste power."
80,"I shall reade dayly at the leaste one chapter of the Olde Testament, and an other of the Newe with good aduisement, to thincrease of my knowledge."
81,"I do also faithfully promise in my person, to vse & exercise my office and place to the honor of God, to the quiet of ye Qeenes subiects within my charge, in truth, concorde and vnitye."
82,"And also to obserue, keepe and mentayne suche order and vniformity in all externall policye, Rites and Ceremonies of the Church, as by the lawes, good vsuages and orders are allready well prouided and established."
83,"I shall not openlye intermedle with any artificers occupacions, as couetouslye to seeke a gayne there∣by, hauinge in Ecclesiasticall lyuinge to the somme of twenty Nobles or aboue by yeare."
84,Agreed vpon and subscribed by Commissioners in causes Eccle∣siasticall.
85,Matthaeus Cantuariensis.
86,Edmundus Londoniensis.
87,Richardus Eliensis.
88,Edmundus Roffensis.
89,Robertus VVintoniensis.
90,Nicolaus Lincolniensis.
91,Imprinted at London by Reginalde Wolfe.
92,"A letter vvritten out of England to an English gentleman remaining at Padua containing a true report of a strange conspiracie, contriued betweene Edward Squire, lately executed for the same treason as actor, and Richard Walpoole a Iesuite, as deuiser and suborner against the person of the Queenes Maiestie.Bacon, Francis, 1561-1626.Approx."
93,"23 KB of XML-encoded text transcribed from 8 1-bit group-IV TIFF page images.Ann Arbor, MI ; Oxford (UK) :Text Creation Partnership,2003-01 (EEBO-TCP Phase 1).A00021 STC 10017 ESTC S101177 99836999 99836999 1303 To the extent possible under law, the Text Creation Partnership has waived all copyright and related or neighboring rights to this keyboarded and encoded edition of the work described above, according to the terms of the CC0 1.0 Public Domain Dedication (http://creativecommons.org/publicdomain/zero/1.0/)."
94,"This waiver does not extend to any page images or other supplementary files associated with this work, which may be protected by copyright or other license restrictions."
95,Please go to http://www.textcreationpartnership.org/ for more information.Early English books online.
96,"(EEBO-TCP ; phase 1, no."
97,"A00021)Transcribed from: (Early English Books Online ; image set 1303)Images scanned from microfilm: (Early English books, 1475-1640 ; 341:14)A letter vvritten out of England to an English gentleman remaining at Padua containing a true report of a strange conspiracie, contriued betweene Edward Squire, lately executed for the same treason as actor, and Richard Walpoole a Iesuite, as deuiser and suborner against the person of the Queenes Maiestie.Bacon, Francis, 1561-1626."
98,"[2], 13, [1] p. Imprinted at London : By the deputies of Christopher Barker, printer to the Queenes most excellent Maiestie, 1599."
99,"Attributed to Francis Bacon.Reproduction of the original in the Henry E. Huntington Library and Art Gallery.Header created with script mrcb2eeboutf.xsl on 2014-03-05.Manually keyed and coded text linked to page images in accordance with level 4 of the TEI in Libraries guidelines.Issued variously as SGML (TCP schema; ASCII text with mnemonic sdata character entities); displayable XML (TCP schema; characters represented either as UTF-8 Unicode or text strings within braces); or lossless XML (TEI P5, characters represented either as UTF-8 Unicode or TEI g elements).Keying and markup guidelines available at TCP web site (http://www.textcreationpartnership.org/docs/)engSquire, Edward, d."
100,"1598.Walpole, Richard, 1564-1607.Great Britain -- History -- Elizabeth, 1558-1603 -- Early works to 1800.2000-00TCPAssigned for keying and markup2001-12AptaraKeyed and coded from ProQuest page images2002-01TCP Staff (Michigan)Sampled and proofread2002-01TCP Staff (Michigan)Text and markup reviewed and edited2002-02pfsBatch review (QC) and XML conversion 10017 99836999 1303 A Letter written out of England to an English Gentleman remaining at Padua, containing a true Report of a strange Conspiracie, contriued betweene Edward Squire, lately execed for the same treason as Actor, and Richard allpoole a Iesuite, as Deuiser and Suborner against the person of the Queenes Maiestie."
101,"Imprinted at London by the Deputies of CHRISTOPHER BARKER, Printer to the Queenes most excellent Maiestie."
102,"SIR, I thanke you for your Relation of Ferra∣ra; and to make you pai∣ment in the like commo∣dities, I returne to you a true report of a fresh ac∣cident of State, happe∣ned here with vs; memo∣rable for the strangenesse of the matter, and the great signification it cari∣eth with it of Gods ex∣traordinarie and most visible prouidence; but other∣wise woorthy to be damned to perpetuall obliuion, as well for the detestable nature of the fact, as yet more (if more were possible) for the impietie of the perswa∣sion; such as I assure you, a man ought to make scruple to infame the times, or infect mens cogitations with the repetition of it, were it not that these workes of darknesse are framed and forged in such a deepe vawte of hypocrisie, as there is more danger, that they should be vnreuealed or vnbeleeued, then that being brought to cleare light, they should prouoke an imitation in a∣ny, of that which is so odious and foule."
103,"And this Sir you may beleeue, that as I haue had good meanes, to informe my selfe to the full, of that which passed in this matter, and the trueth of all the particulars, aswell those which were opened at the ar∣reignment of Edward Squire, one of the offenders, as those which were reserued, so I haue set downe this Narration, rather abridged of some circumstances, then any wayes amplified or inlarged."
104,"This Squire dwelt in Greenwich diuers yeeres, and tooke vpon him the practise of a Scriuener, yet rather as a helpe to maintaine himselfe for a time, then that he bare a minde to settle in that trade."
105,"He obtained also before his going to Sea, for some two yeres space, an imployment about the Queenes Stable, by way of deputation to one Kaies, a Purueiour of those prouisi∣ons."
106,"But being of a wit aboue his vocation, disliked with that condition of life, and put himselfe into acti∣on by Sea, in the last voyage Sir Francis Drake made into the Indies; in which voyage, it was his hap, that the Frances (a small barke wherein he went) was scat∣tered from the Fleet about Guadalupe, and taken by iue Spanish frigots."
107,"And so was Squire brought pri∣soner into Spaine, where soone after he was set at li∣bertie."
108,"Not long after his inlargement, he became known to Richard Walpoole an English fugitiue, and by order a Iesuite, a man of principall credit there, and a kinde of Vicar generall to Parsons in his absence."
109,"This Wal∣poole, carrying a waking & waiting eye, vpon those of our Nation, to discouer and single out sit instruments for the greatest treasons, obserued this Squire, found him a man of more then ordinarie sence and capaci∣tie, for his qualitie and education; found him a man, that had passed his middle age, well aduised, and yet resolued enough, and not apprehensiue at all of dan∣ger; (for I doe affirme this vnto you, that neuer man answered vpon his triall for life and death, with lesse perturbation, nay scarsely with any alteration, as if he vnderstood not his perill and calamitie, and yet as sensible for speech, as insensible for passion.)"
110,"But be∣sides the disposition and temper of the man, Walpoole discerned in him two conditions of speciall aduan∣tage; The one, that comming into Spaine a prisoner, and not a fugitiue, his returne into England would be subiect to lesse suspition: The other, that he vnder∣stood, Squire had formerly had some attendance a∣bout the Queenes Stable, which he streight caught holde of, as an opportunity."
111,"Yet neuerthelesse, the better to prepare him, and worke him to his purpose; and the better also to giue couler,(when Squire should returne into England) that he was a man that had suffered in Spaine for his con∣science, subtilly he compassed, that vpon a quarrell picked, Squire was put into the Inquisition."
112,"By this meanes, when he had got his heart into his handes, mollified by distresse, and became secure of him, that he was a fixed and resolued Papist."
113,"After probation and preparation sufficient, hee be∣gan to open himselfe vnto him; and first for introdu∣ction, fell into the ordinary burden or song, of that kinde of people, touching the tyrannies and persecu∣tions exercised here in England against Catholiques; though Sir, you know very well, the distinction and moderation of the proceedings here in Ecclesiasti∣call causes, with what lenitie, and gentlenesse, it hath bene caried, except where it was mixed with matter of State; for els I would gladly learne, what should make the difference, betweene the temper of the Lawes in the first yeere of the Queene, and in 23. or 27. but that at the one time, they were Papists in con∣science, and at the other they were growne Papists in faction; or what should make the difference at this day in Lawe, betweene a Queene Mary Priest, and a Seminarie Priest, saue that the one is a Priest of super∣sition, and the other is a Priest of sedition."
114,"But to the purpose; After the Iesuite had at sundry confe∣rences, discoursed his pleasure of the miseries of Ca∣tholiques here in England, and of the slanders of the gouernment, and vpon how fewe persons liues, the State here did stand; and Squire on the other side, (who wanted no witte to perceiue which way hee was ledde) had first made some signification, and after some more serious and vehement protestation of his minde and deuotion, to doe seruice to the cause, when the wicked Frier fawe hee was gotten into the true circle, hee began to charme; and yet not hauing the power to fall vpon the highest point first, without a gradation or bridge, It were no doubt (saith hee) an acte ery meritorious to kill the Earle of Essex, but Vnum necessarium, One thing is necessary."
115,"And hauing kept him in suspence a while, brake with him plainely, and tolde him, that hee would put a seruice into his hands, that he might execute and accomplish, with∣out any euident perill of his life, because it was to be done, what time the Queene her selfe should not bee in presence; (which I thinke he spake as hauing heard that which is very true, of some Conspirators, that hauing vndertaken and vowed her Maiesties destru∣ction, haue neuerthelesse at the very instant of the ac∣cesse and opportunitie, bene stricken with astonish∣ment, and had no power to execute their malice.)"
116,"Nay further he said, that he should not need to feare, in the doing thereof, to be seene or obserued, by any persons of care or iudgement, but such as might be easily conuersed withall, without suspition: And it was the impoysonment of the pommell of the Queenes Sadell, at such time as shee should ride a∣broad; her Maiestie being like to rest her hand there∣upon, for a good time together, and not vnlike for her hand to come often about her face, mouth, and nose∣thrils; and this by reason of his former acquaintance and seruice about the Stable, he thought hee might easily performe, and safely; And yet he said,  Vnto which accursed proposition after that Squire had assented, then did the Frier vse all diligence to confirme and binde him to resolution and perfor∣mance."
117,"And to that ende, at sundry confessions tooke his vow and promise to be constant; caused him to receiue the Sacrament vpon it; renued his diuelish perswasions, varying them in all fourmes to besiege his minde and cogitations, that he might finde no way to get out of this wicked purpose; Telling him  And bid him remember how that sinne did seldome obtaine par∣don; and if he did but once make doubt of the lawfulnesse or merit of the acte, it was enough to cast him headlong downe into hell; And if he did cast any difficulties or terrors, he wished him to consider  So as now Squire must not descend into himselfe, he must make no obiections, cast no doubts; but the eyes of his vnderstanding blinded and sealed vp, he must onely contemplate vpon these vowes and adiurations."
118,"And for a conclusion and finall benediction of this most execrable plot, Squire kneeling before Wallpoole at confession, he lifted him vp, hugde him about the necke with his left arme (such were Squires owne wordes) and crossing him with the other hand after some wordes mumbled in Latine, sayd distinctly to him in English,  And vpon this imbracement and inchantment, this desperate wretch and this blasphemous Exorcist parted for that time."
119,"Then doeth he giue him ful instructions for the dis∣posing of this poison; shewing him that he should re∣ceiue it in a double bladder, and when it should bee vsed, hee was to pricke the bladderfull of holes vpon the vpper part, and so to carie it within the palme of his hand with a thicke gloue for the safegard of his hand: and in the instant when it was to be applied, he should turne it in his hand he vpside downe, and so presse it hard vpon the pommell of the saddell: telling him further of the nature of it, That it would lie and tarrie long where it was laide; and that it would not be chec∣ked by the aire."
120,"And lastly vpon his comming away, deliuered him the confection it selfe in such a bladder as was before described."
121,"This was the true maner of the subornation of Ed∣ward Squire by Richard Wallpoole as it was confessed by the same Squire almost in the same wordes, as well for the perswasions as for the instructions."
122,"Which confes∣sion I doe affirme vnto you vpon knowledge was deli∣uered without torture or shewe of torture: and was roundly and sensibly vttered with all circumstances of a credible narration for that part which concerneth the maner of the impoisonment: and for that part which concerneth the manner of the perswasion was set downe by an aduised declaration vnder his owne hand, and the same as farre as hitherto we haue gone, was mainteined and confirmed, and in no point re∣tracted or disauowed, either at his trial or at his death."
123,"It seemes also that Wallpoole in some of his confe∣rences did insist vpon the impoisonment of the Earle of Essex, the rather to defeate the voyage by Sea, then exspected (for these things past about May 1597.)"
124,"So as Squire conceiued it, there could bee no one thing more acceptable in the second degree."
125,"Nowe after that Squire had receiued both poisons, as well the spirituall poison of wicked resolution, as the materiall within the bladders; and that Wallpoole had interlaced some promise to him of rewardes and comforts, besides those of the other world, and had schooled him for secrecie, which he made to be parcel of his vow, there rested onely his dispatch for England."
126,"Whereunto to giue an apt colour, it was deuised that there should be a permutation treated, by the meanes of a Chanon in Ciuill of two Spanish prisoners here, ta∣ken at Cales, friends of the saide Chanon, for Squire and Rowles nowe Prisoner in the Towre, who came o∣uer with him wherby it might be caried, farre off from suspition, that Squire did not returne as a man imploi∣ed, but vpon that priuate occasion."
127,"According to which proiect he was sent away conueniently money∣ed, that he might be the better in heart, and yet not so abundantly as might make him loue his life too well, and to goe away with his fare quietly, though indeed there were more money stirring, but not in that hand."
128,"And being arriued here in England about a fort∣night before the Earles setting foorth towardes the Ilandes, hee did addresse himselfe to a Counseller of Estate here, both to shew himselfe to the end to auoid suspition, and with pretence also of some aduertise∣ments, to the ende to winne the better opinion and trust; and finding his comming well conceiued of ac∣cording to his desire, hee did craftily and subtilely de∣uise with himselfe, that if he could finde any opportu∣nitie to execute his purpose before the Earle went, (supposing that the poyson could not worke but in some space of time) it would be more securitie for him to be absent, and in the voyage, left percase some suspi∣tious tokens of poison appearing, somewhat might fall out (vpon such diligent inquisition as in such a case were like to bee made) to bee discouered against him; and therefore made his meanes to goe with the Earle in his Shippe and obtained his sute."
129,"So as nowe making his reckoning to haue the peril vpon his back, he did but watch his time."
130,"And it pleased God for the manifestation of his glo∣ry, that the Mundaie seuennight next after Squires comming home out of Spaine, he vnderstood that the horses were making readie for her Maiesties riding a∣broad."
131,"Whereupon, full of those euill spirites where∣with so many exorcismes had possessed him, hee came into the Stable yard where her Maiesties horse stood ready sadled, and in a familiar and cheerefull maner in the hearing of diuers that stood thereby, hauing all things ready according to his instructions, he laied his hand vpon the pommell of the Saddle, and sayd, God saue the Queene, (wherein it pleased God to take his words and not his meaning) and bruized the poison as he was directed."
132,"Thus was her Maiesties sacred and precious life by the All-haile of a second Iudas betrayed, the attempt put in act, and all the Conspirators part plaied to the vttermost line and title; there rested onely Gods part: For so it was, that her Maiesties going abroad held; & as the Viper was vpon S. Pauls hand, and shaked off without hurt; so this done, was in Iuly in the heate of the yeere, when the poores and veines were openest to receiue any maligne vapor or tincture, if her Maiestie by any accident had layd her hand vpon the place."
133,"And as the Heathenish people at that time did argue and conclud thereupon, that S. Paul was a God, so wee may christianly inferre that it was Gods doing and power who hath defended his Handmaid and seruant by his secret and more then naturall influence and pre∣seruatiue from so actuall & mortall a danger, speaking by these signes to all her disloyall Subiects and ambiti∣ous enemies, That as he hath done great things by her, past ordinarie discourse of reason, so he hath done, and will doe as great things for her, beyond the course of his ordinarie prouidence."
134,"For surely, if a man consider how many times her life hath bene sought and assailed, since the beginning of her raigne, by violence, by poisoning, by superstici∣ous Votaries, by ambicious Vndertakers, by singular Conspirators, by Conspirators combined, (speaking of those that haue bene reuealed, besides a number (no doubt) of the like which haue groueled in darkenesse, and neuer came to light) hee will not find the like re∣flexion of Gods fauour in any Soueraigne Prince that hath reigned."
